S.No.,State/UTs,Ph.D. Male,Ph.D. Female,Ph.D. Total,M.Phil Male,M.Phil Female,M.Phil Total,Post Graduate Male,Post Graduate Female,Post Graduate Total,Under Graduate Male,Under Graduate Female,Under Graduate Total,PG Diploma Male,PG Diploma Female,PG Diploma Total,Certificate Male,Certificate Female,Certificate Total,Integrated Male,Integrated Female,Integrated Total,Grand Total Male,Grand Total Female,Grand Total Total
1,Andaman and Nicobar Islands,5,9,14,0,0,0,575,942,1517,3807,4444,8251,26,37,63,39,33,72,193,355,548,5200,6227,11427
2,Andhra Pradesh,3237,2346,5583,7,16,23,93141,91801,184942,828981,740069,1569050,997,574,1571,357,154,511,6754,3762,10516,1028739,900420,1929159
3,Arunachal Pradesh,441,240,681,0,0,0,6481,6215,12696,25094,21201,46295,152,101,253,329,163,492,1163,715,1878,34995,29895,64890
4,Assam,3140,2230,5370,82,132,214,26134,36830,62964,288411,290995,579406,693,828,1521,102,688,790,2571,2913,5484,333926,344086,678012
5,Bihar,3720,1854,5574,0,0,0,80756,74667,155423,1291227,1041776,2333003,1989,808,2797,1419,1292,2711,2809,1640,4449,1447460,1175486,2622946
6,Chandigarh,343,454,797,19,25,44,9172,13600,22772,41264,36134,77398,899,965,1864,319,288,607,1123,1418,2541,55291,55712,111003
7,Chhattisgarh,920,917,1837,4,8,12,35630,51834,87464,227084,275545,502629,8448,8480,16928,254,435,689,2690,2409,5099,298601,357740,656341
8,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,305,543,848,4656,5103,9759,0,0,0,0,0,0,36,54,90,6683,6122,12805
9,Delhi,7533,6561,14094,716,761,1477,73783,103616,177399,473724,425006,898730,8389,6686,15075,1331,1093,2424,3785,2349,6134,585353,560037,1145390
10,Goa,494,407,901,10,0,10,3523,4859,8382,23132,22401,45533,131,123,254,12,0,12,1581,1221,2802,35398,30017,65415
11,Gujarat,4799,3734,8533,35,29,64,97560,118747,216307,775408,592468,1367876,4508,4086,8594,3245,2666,5911,12359,10484,22843,1009666,787996,1797662
12,Haryana,1784,2385,4169,16,32,48,57199,98973,156172,405310,417253,822563,1801,1734,3535,298,522,820,11781,9648,21429,542146,562386,1104532
13,Himachal Pradesh,1028,1055,2083,44,38,82,15071,18862,33933,119249,141142,260391,970,917,1887,333,204,537,1504,1101,2605,147143,172508,319651
14,Jammu and Kashmir,1879,1923,3802,41,82,123,30709,41398,72107,145870,147226,293096,777,483,1260,410,489,899,4188,4959,9147,192954,207469,400423
15,Jharkhand,2039,1113,3152,14,66,80,48894,63574,112468,362777,347379,710156,2051,1087,3138,906,440,1346,2248,1247,3495,450106,429859,879965
16,Karnataka,6045,5148,11193,44,183,227,118528,142088,260616,982974,923326,1906300,4862,3664,8526,1847,1196,3043,8761,7961,16722,1258004,1178536,2436540
17,Kerala,3387,5747,9134,75,281,356,50946,121630,172576,439560,576826,1016386,1284,1836,3120,580,1032,1612,5115,7009,12124,554572,749873,1304445
18,Ladakh,15,3,18,0,0,0,155,318,473,1187,2103,3290,0,0,0,19,131,150,0,0,0,1571,2869,4440
19,Lakshadweep,0,0,0,0,0,0,0,0,0,14,74,88,0,0,0,0,0,0,0,0,0,14,74,88
20,Madhya Pradesh,4283,3571,7854,0,16,16,201345,239046,440391,1143205,953119,2096324,21509,20506,42015,1563,858,2421,19680,15653,35333,1505908,1294257,2800165
21,Maharashtra,10115,7717,17832,121,69,190,283304,303894,587198,1968964,1529764,3498728,25594,21182,46776,7580,4905,12485,10636,9599,20235,2542831,2035012,4577843
22,Manipur,725,723,1448,0,6,6,4940,5528,10468,58171,54386,112557,555,419,974,161,125,286,0,0,0,66234,64154,130388
23,Meghalaya,458,331,789,1,2,3,5673,8432,14105,35954,41489,77443,280,363,643,31,55,86,203,180,383,43588,52865,96453
24,Mizoram,634,565,1199,0,0,0,2398,3210,5608,16905,16249,33154,39,16,55,0,0,0,15,10,25,23191,23580,46771
25,Nagaland,290,330,620,12,6,18,3276,5178,8454,18770,20444,39214,40,89,129,310,276,586,0,0,0,23557,27666,51223
26,Odisha,2668,1550,4218,269,303,572,63227,56471,119698,402899,379256,782155,1920,1165,3085,651,899,1550,5769,5898,11667,581167,492712,1073879
27,Puducherry,325,278,603,0,0,0,13198,13394,26592,28264,33817,62081,29,25,54,11,8,19,556,943,1499,44821,49822,94643
28,Punjab,4946,5379,10325,28,41,69,46929,63149,110078,321099,292462,613561,2631,3183,5814,748,952,1700,9479,11546,21025,434616,424128,858744
29,Rajasthan,6913,6915,13828,145,161,306,140674,169589,310263,1124079,978715,2102794,5357,3332,8689,1869,1868,3737,64924,61038,125962,1430283,1259057,2689340
30,Sikkim,337,315,652,18,25,43,2421,3565,5986,12268,12538,24806,18,11,29,50,5,55,168,251,419,16274,17487,33761
31,Tamil Nadu,13457,15410,28867,925,3116,4041,198013,266073,464086,1243667,1248155,2491822,8126,6603,14729,7290,9324,16614,13088,13366,26454,1698112,1611215,3309327
32,Telangana,4442,2525,6967,57,43,100,89767,117315,207082,638370,633953,1272323,4386,3529,7915,1532,1590,3122,4538,3081,7619,793353,803327,1596680
33,Tripura,286,173,459,2,10,12,5209,5840,11049,44432,37731,82163,76,59,135,18,18,36,1106,885,1991,53538,47013,100551
34,Uttar Pradesh,11988,9725,21713,15,62,77,348726,411389,760115,3033329,2745769,5779098,17801,9432,27233,3435,2854,6289,36630,21270,57900,3669318,3304106,6973424
35,Uttarakhand,2573,1900,4473,5,0,5,41134,53023,94157,217701,216121,433822,560,419,979,218,64,282,3555,2390,5945,286149,281555,567704
36,West Bengal,8683,5103,13786,688,614,1302,126244,177120,303364,1106488,1080500,2186988,3130,2013,5143,3291,2115,5406,9590,6626,16216,1375627,1346524,2722151
